Injury_ID,Injury_Location,Condition_Name,Severity,Affected_Workout_Types,Recommended_Modifications
INJ_1000,Wrist / Elbow,Golfer's Elbow,Chronic/Recurring,Upper Body,Substitute push-ups with forearm planks or knuckle push-ups | Avoid skull crushers
INJ_1001,Lower Back,SI Joint Dysfunction,Chronic/Recurring,Pull (Back/Biceps) & Full Body,Avoid heavy deadlifts and bent-over rows | Keep spine neutral
INJ_1002,Lower Back,SI Joint Dysfunction,Moderate,Full Body,Keep spine neutral
INJ_1003,Neck,Postural Neck Pain,Rehabilitating,Core & Cardio,Keep neck neutral during planks and push-ups
INJ_1004,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Pull (Back/Biceps),Avoid skull crushers | Avoid heavy gripping (use straps for pulling)
INJ_1005,Ankle / Foot,Achilles Tendinitis,Rehabilitating,Legs,Substitute standing calf raises with seated
INJ_1006,Knee,Meniscus Tear (Mild),Chronic/Recurring,Core & Cardio & Legs,"Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1007,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Pull (Back/Biceps),Avoid heavy gripping (use straps for pulling) | Avoid skull crushers
INJ_1008,Wrist / Elbow,TFCC Tear (Mild),Chronic/Recurring,Upper Body & Pull (Back/Biceps),Avoid heavy gripping (use straps for pulling)
INJ_1009,Shoulder,Shoulder Impingement,Mild,Pull (Back/Biceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1010,Wrist / Elbow,Golfer's Elbow,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Substitute push-ups with forearm planks or knuckle push-ups
INJ_1011,Lower Back,SI Joint Dysfunction,Chronic/Recurring,Full Body & Core & Cardio,Substitute sit-ups with planks or bird-dogs | Avoid heavy deadlifts and bent-over rows
INJ_1012,Shoulder,Biceps Tendinitis,Chronic/Recurring,Upper Body,Avoid wide-grip pull-ups
INJ_1013,Lower Back,Sciatica,Rehabilitating,Pull (Back/Biceps),Keep spine neutral | Avoid twisting core movements
INJ_1014,Knee,Ligament Sprain (ACL/MCL),Rehabilitating,Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1015,Ankle / Foot,Achilles Tendinitis,Moderate,Full Body,Substitute standing calf raises with seated
INJ_1016,Wrist / Elbow,TFCC Tear (Mild),Moderate,Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular)
INJ_1017,Ankle / Foot,Flat Feet Pain,Mild,Full Body,Perform cardio on a stationary bike or swimming instead
INJ_1018,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1019,Neck,Whiplash Recovery,Moderate,Upper Body,Avoid overhead presses if causing pain
INJ_1020,Shoulder,Biceps Tendinitis,Rehabilitating,Pull (Back/Biceps) & Full Body,Avoid wide-grip pull-ups | Keep elbows tucked during push-ups
INJ_1021,Neck,Whiplash Recovery,Moderate,Upper Body,Avoid crunches where hands pull on the neck | Avoid heavy barbell shrugs
INJ_1022,Shoulder,AC Joint Sprain,Mild,Upper Body,Substitute barbell bench with neutral-grip dumbbell press
INJ_1023,Ankle / Foot,Shin Splints,Mild,Full Body,Wear supportive footwear during lifts | Perform cardio on a stationary bike or swimming instead
INJ_1024,Knee,Knee Osteoarthritis,Chronic/Recurring,Core & Cardio,Keep knee flexion pain-free | Avoid deep squatting
INJ_1025,Neck,Whiplash Recovery,Moderate,Upper Body,Avoid crunches where hands pull on the neck
INJ_1026,Lower Back,Lumbar Strain,Chronic/Recurring,Core & Cardio & Pull (Back/Biceps),Keep spine neutral
INJ_1027,Wrist / Elbow,Wrist Sprain,Rehabilitating,Push (Chest/Shoulders/Triceps) & Upper Body,Use neutral grips (hammer curls instead of regular)
INJ_1028,Shoulder,AC Joint Sprain,Moderate,Push (Chest/Shoulders/Triceps),Avoid overhead pressing | Substitute barbell bench with neutral-grip dumbbell press
