Workout_ID,Difficulty,Focus_Area,Routine,Goal
WK_3001,Beginner,Pull,Dumbbell Rows | Chin-ups | Face Pulls | Pull-ups,Weight Loss
WK_3002,Beginner,Pull,Lat Pulldowns | Bent-over Rows | Hammer Curls | Deadlifts | Bicep Curls | Seated Cable Rows,Muscle Gain
WK_3003,Beginner,Upper Body,Lat Pulldowns | Bench Press | Hammer Curls | Tricep Extensions | Seated Cable Rows | Pull-ups,General Fitness
WK_3004,Intermediate,Upper Body,Cable Crossovers | Bench Press | Skull Crushers | Pull-ups | Knuckle Push-ups | Seated Cable Rows,General Fitness
WK_3005,Beginner,Upper Body,Military Press | Overhead Press | Bent-over Rows | Deadlifts | Lat Pulldowns,Muscle Gain
WK_3006,Beginner,Lower Body,Leg Curls | Clamshells | Lunges | Seated Calf Raises | Leg Press | Wall Sits,Weight Loss
WK_3007,Advanced,Lower Body,Standing Calf Raises | Leg Press | Glute Bridges | Lunges | Squats | Squat Jumps,Weight Loss
WK_3008,Intermediate,Upper Body,Neutral-grip Dumbbell Press | Military Press | Bent-over Rows | Cable Crossovers,Weight Loss
WK_3009,Advanced,Core & Cardio,Burpees | Crunches | Mountain Climbers | Running | Sprints,General Fitness
WK_3010,Advanced,Pull,Bent-over Rows | Face Pulls | Pull-ups | Chin-ups | Seated Cable Rows | Bicep Curls,Weight Loss
WK_3011,Intermediate,Core & Cardio,Mountain Climbers | Forearm Planks | Running | Crunches | High Knees | Bird-Dogs,Weight Loss
WK_3012,Beginner,Legs,Seated Calf Raises | Wall Sits | Lunges | Glute Bridges | Standing Calf Raises,General Fitness
WK_3013,Advanced,Upper Body,Bent-over Rows | Face Pulls | Chin-ups | Dips | Cable Crossovers,Weight Loss
WK_3014,Beginner,Upper Body,Hammer Curls | Seated Cable Rows | Cable Crossovers | Bicep Curls | Pull-ups | Bent-over Rows,Weight Loss
WK_3015,Beginner,Lower Body,Clamshells | Leg Curls | Lunges | Squats,Muscle Gain
WK_3016,Beginner,Legs,Bulgarian Split Squats | Box Jumps | Seated Calf Raises | Lunges,Weight Loss
WK_3017,Intermediate,Core & Cardio,Russian Twists | Forearm Planks | Sprints | Mountain Climbers | High Knees | Jumping Jacks,Muscle Gain
WK_3018,Advanced,Pull,Seated Cable Rows | Chest-supported Rows | Bent-over Rows | Dumbbell Rows | Chin-ups,Weight Loss
WK_3019,Intermediate,Upper Body,Cable Crossovers | Chest-supported Rows | Skull Crushers | Military Press,Muscle Gain
WK_3020,Advanced,Legs,Bulgarian Split Squats | Clamshells | Leg Press | Glute Bridges | Box Jumps,Muscle Gain
