Workout_ID,Focus_Area,Difficulty,Routine,Goal
REHAB_2001,Rehabilitation,Beginner,Seated Shoulder Rolls | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2002,Rehabilitation,Beginner,Pelvic Tilts | Knee-to-Chest Stretch | Ankle Pumps,Recovery
REHAB_2003,Rehabilitation,Beginner,Box Breathing | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2004,Rehabilitation,Beginner,Guided Meditation | Cat-Cow Stretch | Glute Squeezes,Recovery
REHAB_2005,Rehabilitation,Beginner,Gentle Walking | Seated Hamstring Stretch | Gentle Walking,Recovery
REHAB_2006,Rehabilitation,Beginner,Guided Meditation | Lying Glute Stretch | Ankle Pumps,Recovery
REHAB_2007,Rehabilitation,Beginner,Wrist Rotations | Seated Hamstring Stretch | Foam Rolling,Recovery
REHAB_2008,Rehabilitation,Beginner,Box Breathing | Overhead Reach | Ankle Pumps,Recovery
REHAB_2009,Rehabilitation,Beginner,Neck Rotations | Knee-to-Chest Stretch | Isometric Towel Presses,Recovery
REHAB_2010,Rehabilitation,Beginner,Deep Breathing | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2011,Rehabilitation,Beginner,Gentle Walking | Calf Stretch on Wall | Seated Shoulder Rolls,Recovery
REHAB_2012,Rehabilitation,Beginner,Diaphragmatic Breathing | Lying Glute Stretch | Isometric Towel Presses,Recovery
REHAB_2013,Rehabilitation,Beginner,Progressive Muscle Relaxation | Cat-Cow Stretch | Neck Rotations,Recovery
REHAB_2014,Rehabilitation,Beginner,Gentle Walking | Cat-Cow Stretch | Pelvic Tilts,Recovery
REHAB_2015,Rehabilitation,Beginner,Progressive Muscle Relaxation | Knee-to-Chest Stretch | Isometric Towel Presses,Recovery
REHAB_2016,Rehabilitation,Beginner,Deep Breathing | Chest Opener Stretch | Foam Rolling,Recovery
REHAB_2017,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Neck Rotations,Recovery
REHAB_2018,Rehabilitation,Beginner,Wrist Rotations | Knee-to-Chest Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2019,Rehabilitation,Beginner,Ankle Pumps | Calf Stretch on Wall | Glute Squeezes,Recovery
REHAB_2020,Rehabilitation,Beginner,Box Breathing | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2021,Rehabilitation,Beginner,Seated Shoulder Rolls | Lying Glute Stretch | Isometric Towel Presses,Recovery
REHAB_2022,Rehabilitation,Beginner,Mindful Breathing | Cat-Cow Stretch | Ankle Pumps,Recovery
REHAB_2023,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Seated Shoulder Rolls,Recovery
REHAB_2024,Rehabilitation,Beginner,Neck Rotations | Calf Stretch on Wall | Wrist Rotations,Recovery
REHAB_2025,Rehabilitation,Beginner,Progressive Muscle Relaxation | Calf Stretch on Wall | Ankle Pumps,Recovery
REHAB_2026,Rehabilitation,Beginner,Seated Shoulder Rolls | Knee-to-Chest Stretch | Assisted Leg Raises,Recovery
REHAB_2027,Rehabilitation,Beginner,Seated Shoulder Rolls | Cat-Cow Stretch | Glute Squeezes,Recovery
REHAB_2028,Rehabilitation,Beginner,Seated Shoulder Rolls | Child's Pose | Foam Rolling,Recovery
REHAB_2029,Rehabilitation,Beginner,Pelvic Tilts | Lying Glute Stretch | Wrist Rotations,Recovery
REHAB_2030,Rehabilitation,Beginner,Neck Rotations | Overhead Reach | Seated Shoulder Rolls,Recovery
REHAB_2031,Rehabilitation,Beginner,Seated Shoulder Rolls | Lying Glute Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2032,Rehabilitation,Beginner,Progressive Muscle Relaxation | Seated Hamstring Stretch | Ankle Pumps,Recovery
REHAB_2033,Rehabilitation,Beginner,Deep Breathing | Calf Stretch on Wall | Seated Torso Twists (Light),Recovery
REHAB_2034,Rehabilitation,Beginner,Mindful Breathing | Cat-Cow Stretch | Ankle Pumps,Recovery
REHAB_2035,Rehabilitation,Beginner,Ankle Pumps | Calf Stretch on Wall | Ankle Pumps,Recovery
