Injury_ID,Injury_Location,Condition_Name,Severity,Affected_Workout_Types,Recommended_Modifications
INJ_3001,Shoulder,Rotator Cuff Tendinitis,Severe,Upper Body,"Avoid Overhead Press, Military Press, and Dips | Avoid wide-grip Pull-ups"
INJ_3002,Wrist / Elbow,Tennis Elbow,Mild,Upper Body,"Avoid heavy gripping, Pull-ups, and Chin-ups | Use straps for all pulling movements"
INJ_3003,Shoulder,AC Joint Sprain,Mild,Push (Chest/Shoulders/Triceps),"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3004,Shoulder,Shoulder Impingement,Moderate,Push (Chest/Shoulders/Triceps),"Avoid Overhead Press, Military Press, and Dips | Substitute Barbell Bench with Neutral-grip Dumbbell Press"
INJ_3005,Wrist / Elbow,Wrist Sprain,Chronic/Recurring,Upper Body & Pull (Back/Biceps),"Avoid Push-ups, Bench Press, and Heavy Gripping | Substitute Push-ups with Forearm Planks"
INJ_3006,Neck,Cervical Sprain,Mild,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3007,Core,Abdominal Strain,Severe,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3008,Wrist / Elbow,Golfer's Elbow,Mild,Upper Body & Pull (Back/Biceps),Substitute Push-ups with Forearm Planks or knuckle Push-ups | Avoid Skull Crushers
INJ_3009,Core,Abdominal Strain,Severe,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3010,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3011,Shoulder,AC Joint Sprain,Mild,Pull (Back/Biceps) & Push,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3012,Hip / Groin,Hip Flexor Strain,Mild,Lower Body & Core & Cardio,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
