Meal_Name,Protein(g),Carbs(g),Fat(g),Calories,Goal
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",16,47,10,342,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Spinach & Watermelon (Slice)",18,42,14,366,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",18,48,12,372,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",16,55,10,374,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",26,46,10,378,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",19,42,15,379,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",19,74,3,399,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",20,54,12,404,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Spinach & Watermelon (Slice)",18,54,14,414,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",18,53,15,419,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Spinach & Mango (Slice)",18,56,14,422,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Cabbage (Fried) & Passion Fruit (2 pcs)",17,55,15,423,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",19,54,15,427,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",26,41,18,430,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",18,81,4,432,Balanced / Maintenance
