Workout_ID,Workout_Name,Goal,Difficulty,Focus_Area,Duration_Min,Estimated_Calories_Burned,Routine
WK_1000,Beginner Core & Sweat,General Fitness,Beginner,Core & Cardio,30,150,1. High Knees (3 sets x 12 reps) | 2. Bicycle Crunches (3 sets x 12 reps) | 3. Mountain Climbers (3 sets x 12 reps) | 4. Side Plank (3 sets x 12 reps) | 5. Lying Leg Raises (3 sets x 12 reps)
WK_1001,Beginner Full Body Circuit,Weight Loss,Beginner,Full Body,30,252,1. Knee Push-ups (4 sets x 12-15 reps) | 2. Bird-Dog (4 sets x 12-15 reps) | 3. Wall Sit (4 sets x 12-15 reps) | 4. Calf Raises (4 sets x 12-15 reps) | 5. Superman Extensions (4 sets x 12-15 reps)
WK_1002,Beginner Upper Body Mix,Weight Loss,Beginner,Upper Body,45,315,1. Hammer Curls (4 sets x 12-15 reps) | 2. Pike Push-ups (4 sets x 12-15 reps) | 3. Dumbbell Rows (4 sets x 12-15 reps) | 4. Dumbbell Chest Flyes (4 sets x 12-15 reps) | 5. Overhead Tricep Extension (4 sets x 12-15 reps)
WK_1003,Beginner Core & Sweat,Muscle Gain,Beginner,Core & Cardio,60,300,1. Jumping Jacks (3 sets x 8-10 reps) | 2. High Knees (3 sets x 8-10 reps) | 3. Forearm Plank (3 sets x 8-10 reps) | 4. Crunches (3 sets x 8-10 reps) | 5. Russian Twists (3 sets x 8-10 reps)
WK_1004,Beginner Full Body Circuit,Weight Loss,Beginner,Full Body,45,378,1. Lying Leg Raises (4 sets x 12-15 reps) | 2. Wide Grip Push-ups (4 sets x 12-15 reps) | 3. Lat Pulldowns (4 sets x 12-15 reps) | 4. Wall Sit (4 sets x 12-15 reps) | 5. Forward Lunges (4 sets x 12-15 reps)
WK_1005,Advanced Upper Body Mix,Muscle Gain,Advanced,Upper Body,45,281,1. Seated Dumbbell Press (4 sets x 6-8 reps (heavy)) | 2. Tricep Kickbacks (4 sets x 6-8 reps (heavy)) | 3. Barbell Bench Press (4 sets x 6-8 reps (heavy)) | 4. Overhead Tricep Extension (4 sets x 6-8 reps (heavy)) | 5. Superman Extensions (4 sets x 6-8 reps (heavy)) | Finisher: Burpees (3 sets of max effort)
WK_1006,Beginner Lower Body Focus,Weight Loss,Beginner,Legs,40,336,1. Glute Bridges (4 sets x 12-15 reps) | 2. Bodyweight Squats (4 sets x 12-15 reps) | 3. Forward Lunges (4 sets x 12-15 reps) | 4. Goblet Squats (4 sets x 12-15 reps) | 5. Step-ups (on chair/box) (4 sets x 12-15 reps) | Finisher: High Knees (2 sets of 30 seconds)
WK_1007,Intermediate Pull Routine,Weight Loss,Intermediate,Pull (Back/Biceps),40,308,1. Inverted Bodyweight Rows (4 sets x 40 sec work / 20 sec rest) | 2. Dumbbell Bicep Curls (4 sets x 40 sec work / 20 sec rest) | 3. Hammer Curls (4 sets x 40 sec work / 20 sec rest) | 4. Pull-ups (4 sets x 40 sec work / 20 sec rest) | 5. Chin-ups (4 sets x 40 sec work / 20 sec rest)
WK_1008,Intermediate Core & Sweat,General Fitness,Intermediate,Core & Cardio,45,247,1. Mountain Climbers (3 sets x 10-15 reps) | 2. Bicycle Crunches (3 sets x 10-15 reps) | 3. Jogging in Place (3 sets x 10-15 reps) | 4. Crunches (3 sets x 10-15 reps) | 5. Bird-Dog (3 sets x 10-15 reps) | Finisher: High Knees (3 sets of max effort)
WK_1009,Advanced Lower Body Focus,Muscle Gain,Advanced,Legs,60,450,1. Glute Bridges (4 sets x 6-8 reps (heavy)) | 2. Goblet Squats (4 sets x 6-8 reps (heavy)) | 3. Jump Squats (4 sets x 6-8 reps (heavy)) | 4. Bodyweight Squats (4 sets x 6-8 reps (heavy)) | 5. Reverse Lunges (4 sets x 6-8 reps (heavy))
WK_1010,Intermediate Upper Body Mix,Weight Loss,Intermediate,Upper Body,45,346,1. Barbell Bench Press (3 sets x 40 sec work / 20 sec rest) | 2. Front Raises (3 sets x 40 sec work / 20 sec rest) | 3. Tricep Kickbacks (3 sets x 40 sec work / 20 sec rest) | 4. Diamond Push-ups (3 sets x 40 sec work / 20 sec rest) | 5. Superman Extensions (3 sets x 40 sec work / 20 sec rest)
